@relation MyRelation

@attribute isASK numeric
@attribute isSELECT numeric
@attribute isCONSTRUCT numeric
@attribute valLIMIT numeric
@attribute valOFFSET numeric
@attribute hasVarPref numeric
@attribute usePrefix numeric
@attribute nbGROUPBY numeric
@attribute nbUNION numeric
@attribute nbFILTER numeric
@attribute nbORDERBY numeric
@attribute nbBGP numeric
@attribute nbTRIPLE numeric
@attribute nbSERVICE numeric
@attribute levenshtein numeric
@attribute nbOperator numeric
@attribute selectivity numeric
@attribute nbVariable numeric
@attribute nbConcrete numeric
@attribute nbPredicatGeneric numeric
@attribute nbVariableLiee numeric
@attribute ratioVariable numeric
@attribute ratioConcrete numeric
@attribute ratioGeneric numeric
@attribute ratioVLiee numeric
@attribute Class {underThreshold,upperThreshold}

@data
0,1,0,-1,-1,1,1,0,2,1,0,10,13,0,0,20,-8,20,16,0,3,51,41,0,7,upperThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,upperThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,3000,-1,0,1,0,0,1,0,1,3,0,0,4,1,2,5,0,2,22,55,0,22,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,1,1,0,2,1,0,10,13,0,0,20,-8,20,16,0,3,51,41,0,7,upperThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,1,1,0,2,1,0,10,13,0,0,20,-8,20,16,0,3,51,41,0,7,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,1,0,1,1,0,0,3,1,1,2,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,3000,-1,0,1,0,0,1,0,1,3,0,0,4,1,2,5,0,2,22,55,0,22,upperThreshold
0,1,0,-1,-1,1,1,0,4,1,0,10,12,0,0,20,-8,20,15,0,1,55,41,0,2,upperThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,upperThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,upperThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,1,1,0,2,1,0,10,13,0,0,20,-8,20,16,0,3,51,41,0,7,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,1,4,0,0,2,-1,5,6,0,2,41,50,0,16,upperThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,3000,-1,0,1,0,0,1,0,1,3,0,0,4,1,2,5,0,2,22,55,0,22,upperThreshold
0,1,0,3000,-1,0,1,0,0,1,0,1,3,0,0,4,1,2,5,0,2,22,55,0,22,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,1,1,0,2,1,0,10,13,0,0,20,-8,20,16,0,3,51,41,0,7,upperThreshold
0,1,0,-1,-1,1,1,0,4,1,0,10,12,0,0,20,-8,20,15,0,1,55,41,0,2,upperThreshold
0,1,0,3000,-1,0,1,0,0,1,0,1,3,0,0,4,1,2,5,0,2,22,55,0,22,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,upperThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,1,1,0,2,1,0,10,13,0,0,20,-8,20,16,0,3,51,41,0,7,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,1,1,0,2,1,0,10,13,0,0,20,-8,20,16,0,3,51,41,0,7,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,1,4,0,0,2,-1,5,6,0,2,41,50,0,16,upperThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,1,-1,1,1,0,0,1,0,6,6,0,0,13,-4,11,7,0,0,61,38,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,1,1,0,2,1,0,10,13,0,0,20,-8,20,16,0,3,51,41,0,7,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,upperThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,1,1,0,4,1,0,10,12,0,0,20,-8,20,15,0,1,55,41,0,2,upperThreshold
0,1,0,-1,-1,1,1,0,4,1,0,10,12,0,0,20,-8,20,15,0,1,55,41,0,2,upperThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,1,1,0,2,1,0,10,13,0,0,20,-8,20,16,0,3,51,41,0,7,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,1,1,0,2,1,0,10,13,0,0,20,-8,20,16,0,3,51,41,0,7,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,1,1,0,4,1,0,10,12,0,0,20,-8,20,15,0,1,55,41,0,2,upperThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,1,4,0,0,2,-1,5,6,0,2,41,50,0,16,upperThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,1,1,0,4,1,0,10,12,0,0,20,-8,20,15,0,1,55,41,0,2,upperThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,1,1,0,4,1,0,10,12,0,0,20,-8,20,15,0,1,55,41,0,2,upperThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,upperThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,1,1,0,2,1,0,10,13,0,0,20,-8,20,16,0,3,51,41,0,7,underThreshold
0,1,0,100,-1,0,1,0,1,0,0,2,2,0,0,5,-2,4,2,0,0,66,33,0,0,upperThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,1,1,0,2,1,0,10,13,0,0,20,-8,20,16,0,3,51,41,0,7,upperThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,1,1,0,2,1,0,10,13,0,0,20,-8,20,16,0,3,51,41,0,7,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,0,0,0,1,0,1,1,0,0,3,1,1,2,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,3000,-1,0,1,0,0,1,0,1,3,0,0,4,1,2,5,0,2,22,55,0,22,underThreshold
0,1,0,1,-1,1,1,0,0,1,0,24,24,0,0,49,-22,47,25,0,0,65,34,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,3000,-1,0,1,0,0,1,0,1,3,0,0,4,1,2,5,0,2,22,55,0,22,upperThreshold
0,1,0,-1,-1,1,1,0,2,1,0,10,13,0,0,20,-8,20,16,0,3,51,41,0,7,upperThreshold
1,0,0,-1,-1,1,0,0,0,0,0,1,1,0,0,1,-1,2,1,0,0,66,33,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,0,1,0,0,0,0,2,3,0,0,4,2,3,6,0,0,33,66,0,0,underThreshold
0,1,0,-1,-1,1,1,0,4,1,0,10,12,0,0,20,-8,20,15,0,1,55,41,0,2,upperThreshold
